abash	abashed	abashed	abashes	abashing
abate	abated	abated	abates	abating
abide	abode	abode	abides	abiding
absorb	absorbed	absorbed	absorbs	absorbing
accept	accepted	accepted	accepts	accepting
accompany	accompanied	accompanied	accompanies	accompanying
ache	ached	ached	aches	aching
achieve	achieved	achieved	achieves	achieving
acquire	acquired	acquired	acquires	acquiring
act	acted	acted	acts	acting
add	added	added	adds	adding
address	addressed	addressed	addresses	addressing
adjust	adjusted	adjusted	adjusts	adjusting
admire	admired	admired	admires	admiring
admit	admitted	admitted	admits	admitting
advise	advised	advised	advises	advising
afford	afforded	afforded	affords	affording
agree	agreed	agreed	agrees	agreeing
alight	alit	alit	alights	alighting
allow	allowed	allowed	allows	allowing
animate	animated	animated	animates	animating
announce	announced	announced	announces	announcing
answer	answered	answered	answers	answering
apologize	apologized	apologized	apologizes	apologizing
appear	appeared	appeared	appears	appearing
applaud	applauded	applauded	applauds	applauding
apply	applied	applied	applies	applying
approach	approached	approached	approaches	approaching
approve	approved	approved	approves	approving
argue	argued	argued	argues	arguing
arise	arose	arisen	arises	arising
arrange	arranged	arranged	arranges	arranging
arrest	arrested	arrested	arrests	arresting
ask	asked	asked	asks	asking
assert	asserted	asserted	asserts	asserting
assort	assorted	assorted	assorts	assorting
astonish	astonished	astonished	astonishes	astonishing
attack	attacked	attacked	attacks	attacking
attend	attended	attended	attends	attending
attract	attracted	attracted	attracts	attracting
audit	audited	audited	audits	auditing
avoid	avoided	avoided	avoids	avoiding
awake	awoke	awoken	awakes	awaking
bang	banged	banged	bangs	banging
banish	banished	banished	banishes	banishing
bash	bashed	bashed	bashes	bashing
bat	batted	batted	bats	batting
be	am	are	was	were	been	is	being
bear	bore	born	bears	bearing
bear	bore	borne	bears	bearing
beat	beat	beaten	beats	beating
beautify	beautified	beautified	beautifies	beautifying
become	became	become	becomes	becoming
befall	befell	befallen	befalls	befalling
beg	begged	begged	begs	begging
begin	began	begun	begins	beginning
behave	behaved	behaved	behaves	behaving
behold	beheld	beheld	beholds	beholding
believe	believed	believed	believes	believing
belong	belonged	belonged	belongs	belonging
bend	bent	bent	bends	bending
bereave	bereft	bereft	bereaves	bereaving
beseech	besought	besought	beseeches	beseeching
bet	bet	bet	bets	betting
betray	betrayed	betrayed	betrays	betraying
bid	bade	bidden	bids	bidding
bid	bid	bid	bids	bidding
bite	bit	bitten	bites	biting
bleed	bled	bled	bleeds	bleeding
bless	blessed	blessed	blesses	blessing
blossom	blossomed	blossomed	blossoms	blossoming
blow	blew	blown	blows	blowing
blur	blurred	blurred	blurs	blurring
blush	blushed	blushed	blushes	blushing
board	boarded	boarded	boards	boarding
boast	boasted	boasted	boasts	boasting
boil	boiled	boiled	boils	boiling
bow	bowed	bowed	bows	bowing
boxed	boxed	boxes	boxing
bray	brayed	brayed	brays	braying
break	broke	broken	breaks	breaking
breathe	breathed	breathed	breathes	breathing
breed	bred	bred	breeds	breeding
bring	brought	brought	brings	bringing
broadcast	broadcast	broadcast	broadcasts	broadcasting
brush	brushed	brushed	brushes	brushing
build	built	built	builds	building
burn	burnt	burnt	burns	burning
burst	burst	burst	bursts	bursting
bury	buried	buried	buries	burying
bust	bust	bust	busts	busting
buy	bought	bought	buys	buying
buzz	buzzed	buzzed	buzzes	buzzing
calculate	calculated	calculated	calculates	calculating
call	called	called	calls	calling
canvass	canvassed	canvassed	canvasses	canvassing
capture	captured	captured	captures	capturing
caress	caressed	caressed	caresses	caressing
carry	carried	carried	carries	carrying
carve	carved	carved	carves	carving
cash	cashed	cashed	cashes	cashing
cast	cast	cast	casts	casting
catch	caught	caught	catches	catching
cause	caused	caused	causes	causing
cease	ceased	ceased	ceases	ceasing
celebrate	celebrated	celebrated	celebrates	celebrating
challenge	challenged	challenged	challenges	challenging
change	changed	changed	changes	changing
charge	charged	charged	charges	charging
chase	chased	chased	chases	chasing
chat	chatted	chatted	chats	chatting
check	checked	checked	checks	checking
cheer	cheered	cheered	cheers	cheering
chew	chewed	chewed	chews	chewing
chide	chid	chidden	chides	chiding
chip	chipped	chipped	chips	chipping
choke	choked	choked	chokes	choking
choose	chose	chosen	chooses	choosing
classify	classified	classified	classifies	classifying
clean	cleaned	cleaned	cleans	cleaning
cleave	clove	cleft	cloven	cleaves	cleaving
click	clicked	clicked	clicks	clicking
climb	climbed	climbed	climbs	climbing
cling	clung	clung	clings	clinging
close	closed	closed	closes	closing
clothe	clad	clad	clothes	clothing
clutch	clutched	clutched	clutches	clutching
collapse	collapsed	collapsed	collapses	collapsing
collect	collected	collected	collects	collecting
colour	coloured	coloured	colours	colouring
come	came	come	comes	coming
comment	commented	commented	comments	commenting
compare	compared	compared	compares	comparing
compel	compelled	compelled	compels	compelling
compete	competed	competed	competes	competing
complain	complained	complained	complains	complaining
complete	completed	completed	completes	completing
conclude	concluded	concluded	concludes	concluding
conduct	conducted	conducted	conducts	conducting
confess	confessed	confessed	confesses	confessing
confine	confined	confined	confines	confining
confiscate	confiscated	confiscated	confiscates	confiscating
confuse	confused	confused	confuses	confusing
congratulate	congratulated	congratulated	congratulates	congratulating
connect	connected	connected	connects	connecting
connote	connoted	connoted	connotes	connoting
conquer	conquered	conquered	conquers	conquering
consecrate	consecrated	consecrated	consecrates	consecrating
consent	consented	consented	consents	consenting
conserve	conserved	conserved	conserves	conserving
consider	considered	considered	considers	considering
consign	consigned	consigned	consigns	consigning
consist	consisted	consisted	consists	consisting
console	consoled	consoled	consoles	consoling
consort	consorted	consorted	consorts	consorting
conspire	conspired	conspired	conspires	conspiring
constitute	constituted	constituted	constitutes	constituting
constrain	constrained	constrained	constrains	constraining
construct	constructed	constructed	constructs	constructing
construe	construed	construed	construes	construing
consult	consulted	consulted	consults	consulting
contain	contained	contained	contains	containing
contemn	contemned	contemned	contemns	contemning
contend	contended	contended	contends	contending
contest	contested	contested	contests	contesting
continue	continued	continued	continues	continuing
contract	contracted	contracted	contracts	contracting
contradict	contradicted	contradicted	contradicts	contradicting
contrast	contrasted	contrasted	contrasts	contrasting
contribute	contributed	contributed	contributes	contributing
contrive	contrived	contrived	contrives	contriving
control	controlled	controlled	controls	controlling
convene	convened	convened	convenes	convening
converge	converged	converged	converges	converging
converse	conversed	conversed	converses	conversing
convert	converted	converted	converts	converting
convey	conveyed	conveyed	conveys	conveying
convict	convicted	convicted	convicts	convicting
convince	convinced	convinced	convinces	convincing
coo	cooed	cooed	coos	cooing
cook	cooked	cooked	cooks	cooking
cool	cooled	cooled	cools	cooling
co-operate	co-operated	co-operated	co-operates	co-operating
cope	coped	cope	copes	coping
copy	copied	copied	copies	copying
correct	corrected	corrected	corrects	correcting
correspond	corresponded	corresponded	corresponds	corresponding
corrode	corroded	corroded	corrodes	corroding
corrupt	corrupted	corrupted	corrupts	corrupting
cost	cost	cost	costs	costing
cough	coughed	coughed	coughs	coughing
counsel	counselled	counselled	counsels	counselling
count	counted	counted	counts	counting
course	coursed	coursed	courses	coursing
cover	covered	covered	covers	covering
cower	cowered	cowered	cowers	cowering
crack	cracked	cracked	cracks	cracking
crackle	crackled	crackled	crackles	crackling
crash	crashed	crashed	crashes	crashing
crave	craved	craved	craves	craving
create	created	created	creates	creating
creep	crept	crept	creeps	creeping
crib	cribbed	cribbed	cribs	cribbing
cross	crossed	crossed	crosses	crossing
crowd	crowded	crowded	crowds	crowding
crush	crushed	crushed	crushes	crushing
cry	cried	cried	cries	crying
curb	curbed	curbed	curbs	curbing
cure	cured	cured	cures	curing
curve	curved	curved	curves	curving
cut	cut	cut	cuts	cutting
damage	damaged	damaged	damages	damaging
damp	damped	damped	damps	damping
dance	danced	danced	dances	dancing
dare	dared	dared	dares	daring
dash	dashed	dashed	dashes	dashing
dazzle	dazzled	dazzled	dazzles	dazzling
deal	dealt	dealt	deals	dealing
decay	decayed	decayed	decays	decaying
decide	decided	decided	decides	deciding
declare	declared	declared	declares	declaring
decorate	decorated	decorated	decorates	decorating
decrease	decreased	decreased	decreases	decreasing
dedicate	dedicated	dedicated	dedicates	dedicating
delay	delayed	delayed	delays	delaying
delete	deleted	deleted	deletes	deleting
deny	denied	denied	denies	denying
depend	depended	depended	depends	depending
deprive	deprived	deprived	deprives	depriving
derive	derived	derived	derives	deriving
describe	described	described	describes	describing
desire	desired	desired	desires	desiring
destroy	destroyed	destroyed	destroys	destroying
detach	detached	detached	detaches	detaching
detect	detected	detected	detects	detecting
determine	determined	determined	determines	determining
develop	developed	developed	develops	developing
die	died	died	dies	dying
differ	differed	differed	differs	differing
dig	dug	dug	digs	digging
digest	digested	digested	digests	digesting
dim	dimmed	dimmed	dims	dimming
diminish	diminished	diminished	diminishes	diminishing
dine	dined	dined	dines	dining
dip	dipped	dipped	dips	dipping
direct	directed	directed	directs	directing
disappear	disappeared	disappeared	disappears	disappearing
discover	discovered	discovered	discovers	discovering
discuss	discussed	discussed	discusses	discussing
disobey	disobeyed	disobeyed	disobeys	disobeying
display	displayed	displayed	displays	displaying
dispose	disposed	disposed	disposes	disposing
distribute	distributed	distributed	distributes	distributing
disturb	disturbed	disturbed	disturbs	disturbing
disuse	disused	disused	disuses	disusing
